,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,outside of CI mean,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
d810aff76f2520e4df3ecefcdbd252ac,6.11E-06,0.002444988,0.000325873,6.30E-06,0.016598327,0.004,0.119,0.578,4.52E+02,5.86E-03,neutral,d__Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Unclassified Synechococcales,NA,NA
dfb1bd3e8049e8e31bc9b9cdc8b1ace1,6.11E-06,0.007334963,0.000325873,6.30E-06,0.016598327,0.004,0.119,1.733,6.50E+01,9.67E-04,neutral,d__Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,NA,NA
ea22f74aa040ec781e7b811f86af2905,6.11E-06,0.009779951,0.000325873,6.30E-06,0.016598327,0.004,0.119,2.311,1.62E+01,-1.48E-03,neutral,d__Bacteria,Actinobacteriota,WCHB1-81,WCHB1-81,WCHB1-81,NA,NA
ed6d572ff8f04abd496583f51ad920f3,6.11E-06,0.007334963,0.000325873,6.30E-06,0.016598327,0.004,0.119,1.733,6.50E+01,9.67E-04,neutral,d__Bacteria,Patescibacteria,Parcubacteria,Candidatus_Colwellbacteria,Candidatus_Colwellbacteria,NA,NA
f07db85dbb65236e2433033a5e01f894,6.11E-06,0.004889976,0.000325873,6.30E-06,0.016598327,0.004,0.119,1.155,1.97E+02,3.41E-03,neutral,d__Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacterales,NA,NA
f9873a2ac712378a78b318f2c8dd9bda,6.11E-06,0.004889976,0.000325873,6.30E-06,0.016598327,0.004,0.119,1.155,1.97E+02,3.41E-03,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,NA,NA
fb4d2aa65e67bc16522cf5246bf4e27b,6.11E-06,0.002444988,0.000325873,6.30E-06,0.016598327,0.004,0.119,0.578,4.52E+02,5.86E-03,neutral,d__Bacteria,Gemmatimonadota,MD2902-B12,MD2902-B12,MD2902-B12,NA,NA
1bc7709719407cd585d19a2cd401111a,7.33E-06,0.004889976,0.000391035,9.00E-06,0.01672387,0.004,0.119,1.147,2.00E+02,3.48E-03,neutral,d__Bacteria,Bdellovibrionota,Oligoflexia,Silvanigrellales,Silvanigrellaceae,NA,NA
1e961897494e87831c354a48b07b8ab5,7.33E-06,0.004889976,0.000391035,9.00E-06,0.01672387,0.004,0.119,1.147,2.00E+02,3.48E-03,neutral,d__Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,MSBL5,NA,NA
322fa78e973281f0f4cdaa020a149931,7.33E-06,0.002444988,0.000391035,9.00E-06,0.01672387,0.004,0.119,0.573,4.54E+02,5.92E-03,neutral,d__Bacteria,Myxococcota,Polyangia,mle1-27,mle1-27,NA,NA
525e70d362be13bf6704b4c3bb21d076,7.33E-06,0.004889976,0.000391035,9.00E-06,0.01672387,0.004,0.119,1.147,2.00E+02,3.48E-03,neutral,d__Bacteria,Gemmatimonadota,Unclassified Gemmatimonadota,Unclassified Gemmatimonadota,Unclassified Gemmatimonadota,NA,NA
656bccfed705221cc65c7bd20cafc474,7.33E-06,0.004889976,0.000391035,9.00E-06,0.01672387,0.004,0.119,1.147,2.00E+02,3.48E-03,neutral,d__Bacteria,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,NA,NA
68bacd8be28012defd30aeacccf7b0ab,7.33E-06,0.002444988,0.000391035,9.00E-06,0.01672387,0.004,0.119,0.573,4.54E+02,5.92E-03,neutral,d__Bacteria,Gemmatimonadota,AKAU4049,AKAU4049,AKAU4049,NA,NA
82fa3d18570b666ca4c3393c1a17228c,7.33E-06,0.004889976,0.000391035,9.00E-06,0.01672387,0.004,0.119,1.147,2.00E+02,3.48E-03,neutral,d__Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,NA,NA
ac2dd44e30c2d4e10fd1b3bdb7579329,7.33E-06,0.002444988,0.000391035,9.00E-06,0.01672387,0.004,0.119,0.573,4.54E+02,5.92E-03,neutral,d__Bacteria,Bacteroidota,Unclassified Bacteroidota,Unclassified Bacteroidota,Unclassified Bacteroidota,NA,NA
aeaee5a6b0f298ebdd9779b6f3d32eff,7.33E-06,0.002444988,0.000391035,9.00E-06,0.01672387,0.004,0.119,0.573,4.54E+02,5.92E-03,neutral,d__Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,NA,NA
eafed47923bfd2ae49ee3332c354db44,7.33E-06,0.004889976,0.000391035,9.00E-06,0.01672387,0.004,0.119,1.147,2.00E+02,3.48E-03,neutral,d__Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Unclassified Gaiellales,NA,NA
00613209587eb0b6747eae0efd9f36a8,8.56E-06,0.002444988,0.000456194,1.22E-05,0.01684895,0.004,0.120,0.569,4.56E+02,5.99E-03,neutral,d__Archaea,Asgardarchaeota,Heimdallarchaeia,Heimdallarchaeia,Heimdallarchaeia,NA,NA
049890d31419e5aa49931b140b829930,8.56E-06,0.004889976,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.139,2.02E+02,3.54E-03,neutral,d__Bacteria,Myxococcota,Polyangia,VHS-B4-70,VHS-B4-70,NA,NA
05ac0669cfddc1b97e1a71e50073ad3f,8.56E-06,0.004889976,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.139,2.02E+02,3.54E-03,neutral,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Unclassified Opitutales,NA,NA
245ba9a438933f9d9c8980ac3faf738e,8.56E-06,0.007334963,0.000456194,1.22E-05,0.01684895,0.004,0.120,1.708,6.86E+01,1.10E-03,neutral,d__Bacteria,Myxococcota,Polyangia,VHS-B3-70,VHS-B3-70,NA,NA
