,p,freq,freq.pred,pred.lwr,pred.upr,SE ,SD,z statistic,adj pvalue,model,Kingdom,Phylum,Class,Order,Family,Genus,Species
d8770ca41cecabc8d4561f085db5f99d,0.001176471,0.058823529,0.110899279,0.032530621,0.316333256,0.072,1.325,0.812,1.42E+02,neutral,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
3ad2b0719252bea3b13653f99539e230,0.001147059,0.323529412,0.108266079,0.031320634,0.313136745,0.072,1.316,4.500,2.92E-03,above,d__Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,NA
70fd3fe0e529479d3e73ac65162cd561,0.001088235,0.117647059,0.1029788,0.028933112,0.30667633,0.071,1.297,1.660,3.24E+01,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,NA,NA
28f8d4ccf3898554dd3bc47e8279b860,0.001073529,0.147058824,0.10165262,0.028343295,0.305046867,0.071,1.292,2.083,1.24E+01,neutral,d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA,NA
a1b779e49f548ecf63c483dbd5988eb2,0.001073529,0.088235294,0.10165262,0.028343295,0.305046867,0.071,1.292,1.250,7.14E+01,neutral,d__Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,NA,NA
f772bd47c681fab86b7c6f51f2682cf2,0.001044118,0.058823529,0.098995014,0.027172519,0.301770303,0.070,1.282,0.840,1.37E+02,neutral,d__Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Nocardiopsaceae,NA,NA
b80ae3859d917fb9fa63ddca7ba0214c,0.001014706,0.147058824,0.096330402,0.026013937,0.298469821,0.070,1.272,2.116,1.14E+01,neutral,d__Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA
c1c56eba76c59c50a2cc9f9b77d4c524,0.000985294,0.411764706,0.09365877,0.024868028,0.295144917,0.069,1.262,5.972,1.67E-06,above,d__Bacteria,Bacteroidota,Bacteroidia,Unclassified Bacteroidia,Unclassified Bacteroidia,NA,NA
02c48df022e6543ba2d0128349033aee,0.000985294,0.294117647,0.09365877,0.024868028,0.295144917,0.069,1.262,4.266,8.11E-03,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Unclassified Flavobacteriales,NA,NA
dd88919fd597031a1c54708e84c666ba,0.000941176,0.176470588,0.089638124,0.023174035,0.290110606,0.068,1.246,2.591,3.20E+00,neutral,d__Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,NA
e883322f9ef80f6b5b6fb809219a74df,0.000941176,0.117647059,0.089638124,0.023174035,0.290110606,0.068,1.246,1.728,2.80E+01,neutral,d__Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,WCHB1-41,NA,NA
1e80a81d2af9889089c0690ccd6235cb,0.000941176,0.058823529,0.089638124,0.023174035,0.290110606,0.068,1.246,0.864,1.32E+02,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA,NA
5a5e98b2cae83fe89de1adca7ab257be,0.000926471,0.235294118,0.088294382,0.02261627,0.288419703,0.068,1.241,3.470,1.86E-01,neutral,d__Bacteria,Verrucomicrobiota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,NA,NA
6920ccf7748199fbbfc014b67441c1b9,0.000911765,0.264705882,0.086948874,0.022062069,0.286722278,0.068,1.236,3.921,3.37E-02,neutral,d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,uncultured,NA,NA
