"","sampleID","variable","value","compartment","model_fit","trait","conditions","TukeyHSD"
"192","E10.Acr.pali.2.20150627","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"193","E10.Alv.alli.2.20150628","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"194","E10.Alv.alli.3.20150628","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"195","E10.Cyp.micr.1.20150627","M_neutral",0.802431610942249,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"196","E10.Fav.abdi.1.20150629","M_neutral",0.683060109289617,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"197","E10.Mon.curt.1.20150629","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"198","E10.Por.hero.1.20150628","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"199","E10.Ser.cali.3.20150627","M_neutral",0.925831202046036,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"200","E3.10.Sty.pist.1.20150127","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"201","E3.11.Fun.sp.1.20150125","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"202","E3.11.Fun.sp.2.20150125","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"203","E3.14.Phy.lich.1.20150125","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"204","E3.14.Phy.lich.1.20150129","M_neutral",0.412587412587413,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"205","E3.14.Phy.lich.2.20150125","M_neutral",0.665207877461707,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"206","E3.15.Dip.heli.1.20150105","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"207","E3.15.Dip.heli.1.20150106","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"208","E3.15.Dip.heli.1.20150119","M_neutral",0.156862745098039,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"209","E3.15.Dip.heli.1.20150120","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"210","E3.15.Dip.heli.1.20150121","M_neutral",0.289855072463768,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"211","E3.15.Dip.heli.1.20150123","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"212","E3.15.Dip.heli.2.20150105","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"213","E3.15.Dip.heli.2.20150119","M_neutral",0.233644859813084,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"214","E3.15.Dip.heli.2.20150120","M_neutral",0.44578313253012,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"215","E3.15.Dip.heli.2.20150121","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"216","E3.15.Dip.heli.2.20150123","M_neutral",0.757142857142857,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"217","E3.15.Dip.heli.3.20150105","M_neutral",0.562700964630225,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"218","E3.15.Dip.heli.3.20150123","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"219","E3.17.Ech.mamm.1.20150123","M_neutral",0.176923076923077,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"220","E3.17.Ech.mamm.1.20150129","M_neutral",0.597883597883598,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"221","E3.19.Sym.sp.1.20150125","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"222","E3.19.Sym.sp.1.20150127","M_neutral",1,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
"223","E3.19.Sym.sp.2.20150125","M_neutral",0,"Mucus","Neutral","Aerobic","Aerobic_M_neutral","a"
