"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-103-PW164-T","1256-106-PW165-T","1256-109-PW166-T","1256-112-PW167-T","1256-115-PW168-T","1256-119-PW169-T","1256-122-PW170-T","1256-125-PW171-T","1256-128-PW172-T","1256-131-PW174-T","1256-136-PW176-T","1256-139-PW177-T","1256-142-PW178-T","1256-147-PW182-T","1256-151-PW183-T","1256-154-PW185-T","1256-157-PW186-T","1256-160-PW187-T","1256-168-PW192-T","1256-171-PW193-T","1256-174-PW194-T","1256-177-PW195-T","1256-180-PW197-T","1256-189-PW201-T","1256-192-PW202-T","1256-195-PW203-T"
"84db1c7009a4b9b1769713a9481f6f59","d__Bacteria","Firmicutes","Clostridia","Clostridia","Gracilibacteraceae","Gracilibacter","Unclassified  Gracilibacter",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2d9eea5920f59317ff4b37a2e89d1500","d__Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus","Unclassified  Peptococcus",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8e0d203d6deb1384407de03646904543","d__Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"03078d441ec2640a458b6007f1e525b6","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","Unclassified Hungateiclostridiaceae","Unclassified Hungateiclostridiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"3e304c33760e989fd91f13d4ca3582cd","d__Bacteria","Firmicutes","Clostridia","uncultured","uncultured","uncultured","Unclassified  uncultured",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6127e95b53af644ce706a4cbf8a57c80","d__Bacteria","Firmicutes","Clostridia","uncultured","uncultured","uncultured","Unclassified  uncultured",0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01f606e29246592886e1c6240fb633e7","d__Bacteria","Firmicutes","Clostridia","uncultured","uncultured","uncultured","Unclassified  uncultured",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4d11ab154bf7827e8b4ee6472341ec6","d__Bacteria","Firmicutes","Clostridia","uncultured","uncultured","uncultured","Unclassified  uncultured",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3b7814b630ea715318fe2dfceaa409b5","d__Bacteria","Firmicutes","Clostridia","uncultured","uncultured","uncultured","Unclassified  uncultured",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90ccb9e3ca3726c2142e34c8020b7e31","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","Unclassified Hungateiclostridiaceae","Unclassified Hungateiclostridiaceae",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917973ce8d80286aedb270d30a699389","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","Unclassified Hungateiclostridiaceae","Unclassified Hungateiclostridiaceae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06c4203e65da50ac6ea5840bb837ebc2","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"0953a4b390a9aa989b5551d7266474b8","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","Ruminiclostridium","Unclassified  Ruminiclostridium",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0136bd2564146214ef00122ce6844b09","d__Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","RBG-16-49-21","Unclassified  RBG-16-49-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"07fb0aa200e944c8e1c5f65863115a83","d__Bacteria","Firmicutes","Clostridia","Unclassified Clostridia","Unclassified Clostridia","Unclassified Clostridia","Unclassified Clostridia",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2d9df76088465b2b1cd89b726bf4f3a3","d__Bacteria","Firmicutes","Unclassified Firmicutes","Unclassified Firmicutes","Unclassified Firmicutes","Unclassified Firmicutes","Unclassified Firmicutes",0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0fdaab7c861f981d9e5985c9d8b64bd9","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium","Epulopiscium uncultured_bacterium",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e89421ba6eefc07921f6da09c40dff40","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium","Epulopiscium uncultured_bacterium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f463b2364874f4e83f21945cb2f5edc","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium","Epulopiscium uncultured_bacterium",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8fb4c535f99c252b9d66a341f6bf9f48","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Unclassified  Blautia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"1d9fef5e8fbfd13f3ba11e7e728d30f6","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Vallitalea","Unclassified  Vallitalea",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21f94e010cf048b8268154e599572eb0","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Vallitalea","Unclassified  Vallitalea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"9d1ffca887b2eb98a08f8c42c70c7a13","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Vallitalea","Vallitalea uncultured_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"f5e93592004eef38c78810911fb32da8","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19ab0197ed3d4c5fdc1418be50fbbf56","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified Lachnospiraceae","Unclassified Lachnospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"dc8308ee75b64c0804f3261ba747ad18","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","uncultured","Unclassified  uncultured",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253fbc6138dc61ce7231646d230ed42d","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Unclassified Lachnospirales","Unclassified Lachnospirales","Unclassified Lachnospirales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"d6ff735961c5437d9a486995bfcccfa3","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Paramaledivibacter uncultured_bacterium",0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"5e90abd593b8a8f59e3dd06a39ed6d28","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Paramaledivibacter uncultured_bacterium",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b93eaf1b51ca93158cc2c8b922b3c42d","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Paramaledivibacter uncultured_bacterium",0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"d4b81cb1a5b74f89e7f3bf9005ddd7bd","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Unclassified  Paramaledivibacter",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1e95c6b4ce12262f846c67a06b8a42ad","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Unclassified  Paramaledivibacter",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d31dc6426b179d5531794c8014cb9779","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Unclassified  Romboutsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"28f1ea83f34c2c92d2e9c3782ca08832","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Paramaledivibacter","Unclassified  Paramaledivibacter",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e8d9ab7dad2f40d13276bbd256000829","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales","Unclassified Peptostreptococcales-Tissierellales",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
