	M00175_Nitrogen_fixation_nitrogen_ammonia_	M00176_Sulfur_reduction_sulfate_H2S_	M00453_QseC_QseB_quorum_sensing_two_component_regulatory_system_	M00506_CheA_CheYBV_chemotaxis_two_component_regulatory_system_	M00513_LuxQN_CqsS_LuxU_LuxO_quorum_sensing_two_component_regulatory_system_
2963552	FALSE	FALSE	FALSE	FALSE	FALSE
1006554	FALSE	FALSE	FALSE	FALSE	FALSE
214800	FALSE	FALSE	FALSE	FALSE	FALSE
3645942	FALSE	FALSE	FALSE	TRUE	FALSE
564586	FALSE	FALSE	FALSE	FALSE	FALSE
921110	FALSE	FALSE	FALSE	FALSE	FALSE
637528	FALSE	FALSE	FALSE	FALSE	FALSE
1087462	FALSE	FALSE	FALSE	FALSE	FALSE
4363948	FALSE	FALSE	FALSE	TRUE	FALSE
575143	FALSE	FALSE	FALSE	FALSE	FALSE
4424906	FALSE	FALSE	FALSE	FALSE	FALSE
4364838	FALSE	FALSE	FALSE	FALSE	FALSE
554984	FALSE	FALSE	FALSE	FALSE	FALSE
544847	FALSE	FALSE	FALSE	FALSE	FALSE
4475220	FALSE	FALSE	FALSE	FALSE	FALSE
590314	FALSE	FALSE	FALSE	FALSE	FALSE
553623	FALSE	FALSE	FALSE	FALSE	FALSE
154682	FALSE	FALSE	FALSE	FALSE	FALSE
4221693	FALSE	FALSE	FALSE	FALSE	FALSE
1122084	FALSE	FALSE	FALSE	TRUE	FALSE
4466240	FALSE	FALSE	FALSE	FALSE	FALSE
260011	FALSE	FALSE	FALSE	FALSE	FALSE
4367855	FALSE	FALSE	FALSE	FALSE	FALSE
3683949	FALSE	FALSE	FALSE	FALSE	FALSE
4441046	FALSE	FALSE	FALSE	FALSE	FALSE
4295177	FALSE	FALSE	FALSE	FALSE	FALSE
111464	FALSE	FALSE	FALSE	FALSE	FALSE
110155	FALSE	FALSE	FALSE	FALSE	FALSE
1107339	FALSE	TRUE	FALSE	TRUE	FALSE
1121806	FALSE	FALSE	FALSE	FALSE	FALSE
575252	FALSE	FALSE	FALSE	FALSE	FALSE
962249	FALSE	FALSE	FALSE	FALSE	FALSE
4434769	FALSE	FALSE	FALSE	FALSE	FALSE
801612	FALSE	FALSE	FALSE	FALSE	FALSE
240451	FALSE	FALSE	FALSE	FALSE	FALSE
624099	FALSE	FALSE	FALSE	FALSE	FALSE
248468	FALSE	FALSE	FALSE	FALSE	FALSE
806030	FALSE	FALSE	FALSE	FALSE	FALSE
994959	TRUE	FALSE	FALSE	FALSE	FALSE
3038460	FALSE	FALSE	FALSE	FALSE	FALSE
4452877	FALSE	FALSE	FALSE	FALSE	FALSE
4408721	FALSE	FALSE	FALSE	FALSE	FALSE
109591	FALSE	FALSE	FALSE	FALSE	FALSE
