"id","E10.10.Sty.pist.1.20150630.S","E10.17.Fav.abdi.1.20150630.S","E10.17.Fav.pali.1.20150630.S","E10.17.Gon.favu.1.20150629.S","E10.17.Gon.favu.1.20150630.S","E10.17.Gon.favu.2.20150630.S","E10.17.Mon.curt.3.20150629.S","E10.Aca.hill.1.20150629.S","E10.Aca.hill.2.20150629.S","E10.Aca.hill.3.20150629.S","E10.Acr.cyth.1.20150627.S","E10.Acr.cyth.2.20150627.S","E10.Acr.cyth.3.20150627.S","E10.Acr.pali.2.20150627.S","E10.Acr.pali.3.20150627.S","E10.Alv.alli.2.20150628.S","E10.Alv.alli.3.20150628.S","E10.Mon.curt.1.20150629.S","E10.Poc.dami.1.20150628.S","E10.Poc.dami.2.20150628.S","E10.Por.hero.1.20150628.S","E10.Por.hero.2.20150628.S","E10.Por.hero.3.20150628.S","E10.Sty.pist.1.20150628.S"
"0aa850b78c264b1c4028291b763bab84",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05112e5158ff2fabb921edee3d320877",0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fc987a8027339da2518944b3871948da",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9591ea6945e206c8fcb2d4ac9ce8ab85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"e5f3193374eefb06b0aae852596a10a3",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,16,16,15,0,0,0
"c68a786d0670f2fbd2929bcf40b931aa",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cda16982874a14e31f5f01f806b0d84b",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18baf0a48672578aee3e9ea33df27776",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a5505d57d768be14425d7bd2e2d202fa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4aafeb2a8d25acf662fc9c711bda9463",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cf6b58c46cd737e51e7e6eb8114ec2d7",0,0,0,0,16,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0
"74193f592b919c20f9525ea19037b5e6",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"4b5cb61ca502cf80e35dc3d92b893c8f",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f974b5ee61eb1ffbed1d040c9b6ac11b",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b5936ff749e54ef3d6dacd657c10a8d",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4e27d0f98d391c4930bd9275873d1bb7",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44d544a273f85c927852a5c5dd26ab0b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"a0e9eb716d1d1c45108bd43830cd3043",39,0,0,0,1,0,0,0,0,43,0,0,0,18,0,3,0,0,0,0,0,0,27,0
"6f2129af4dce4340998cdc89202e7717",0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
"02d0c46b81b8b29c56f04d4a2035f7ce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"123c89b5fd9e1a67b85ebad06a4eac69",107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09b2fff981c4c78cf5b468e1c8256a72",65,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"7de8589b24be091fce82c965d9632eb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0
"eb466d391a43797f4afc4a7d33678eaa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a7f52bd025bf0c203b4db9307f62c1d",0,0,0,20,0,0,0,52,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"73d9831605116db62276b3864c248a86",75,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,26,0,0,0,53,0,72,0
"abb1d2f1da36672f402e9f174f818abe",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56992485020a1e65bbc2200548bec413",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"1a9c19d3518b06f07d971f9314d59af6",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,39
"a047326d64eb42aec280df35a5afdf2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
"c6b03079ef574b507b574244ec0029f5",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4deb3e8561ac9e4ee888daee685af3dd",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d98d6f0b3344529cbc3dadf7d0b3f438",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99ff7e42fba119afce3cca998b17aa79",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,17,73,0,0,0
"87a8b21276528a5527f8cee40b194a50",0,0,0,8,0,47,0,0,0,0,0,0,0,33,0,0,0,0,30,0,18,0,0,0
"11d714e2df90004882a6d0a42a3f74ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,58,61,43,0,19
"11a24a7188e4a43c37218175be21d092",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e5cb71441cff7205a6373e3c7780a877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"c2ad1ed6ad8586004bfeb2fb9c09ce58",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b9755b7b5c5f9b9565bf3bd4ec75d621",0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
"c995918c295b90f85ed63c00ef284b49",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aa40786528964101d5d9828637257295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
"b4b9fa5fb475a44a7a821ac11c5ebebc",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"41040debdf7dfd09a315e3ff6ffab71f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"98f45280310b1364c4c0dccc35988844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,43,0
"4d20a55279a78d16815bd68ba79d617f",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73c434a77d07c20d70f499ca99470a5d",111,0,0,0,0,0,0,0,31,0,0,41,0,0,0,0,0,28,5,16,0,0,0,0
"38fe79090a7bbd97ff3b6e3228b642f5",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,28,0,0,0,0,0
"efcf09e2e0caa4d7c605bff0df1c5e6e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
"22fe7e4c6c0c67dda139d75449c78c31",0,0,0,0,0,0,2,32,0,26,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"109069d4bac0af315bbf31de128e9094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"78877757a37f1af83095d1f670a13957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
