"id","1256-101-PW164-M","1256-104-PW165-M","1256-107-PW166-M","1256-110-PW167-M","1256-113-PW168-M","1256-116-PW169-M","1256-120-PW170-M","1256-123-PW171-M","1256-126-PW172-M","1256-129-PW174-M","1256-132-PW175-M","1256-134-PW176-M","1256-137-PW177-M","1256-140-PW178-M","1256-143-PW181-M","1256-145-PW182-M","1256-148-PW183-M","1256-152-PW185-M","1256-155-PW186-M","1256-158-PW187-M","1256-161-PW190-M","1256-163-PW191-M","1256-165-PW192-M","1256-169-PW193-M","1256-172-PW194-M","1256-175-PW195-M","1256-178-PW197-M","1256-185-PW199-M","1256-190-PW202-M","1256-193-PW203-M","1256-196-PW204-M"
"090fa25f34292ec6132ae989051fe1c4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"07a0fd54e9efc835a31043b942986422",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2065755318d28be920839d5ed772f350",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"673218db01ee5c3ee58ac214df2930bb",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"3701da42a987a3ff40d5a798e6338e04",4,0,0,0,0,0,20,0,3,0,31,0,0,0,0,0,0,0,28,0,0,0,0,0,0,5,0,0,2,0,0
"060f662953f9394ccdcedc2b847b4b9b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"76f6d1fb8eef368cbd98097c434a6003",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"f11a3dfd0e6e9aeff5d36d0d5a6f1e59",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0299a48ddf4d845e3d2dfec580085310",0,59,27,0,0,0,4,0,22,13,0,12,13,0,18,6,0,0,37,0,7,14,0,0,0,12,0,0,0,0,0
"3ac331ae4c941a0d065794e278737c92",32,0,3,34,63,24,27,30,0,52,28,20,0,31,34,48,45,68,0,71,39,0,65,26,0,53,16,63,50,55,55
"0374fbdf9d85f4f4bf3ecb8dbf0c6452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6ea2c0d9cbcc3ddbeb2eb1614223d5e",0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,12,0,5,0,14,3,0,1,0,0,7,0,4,7,5,3
"3c62a271221aa6efa88fd26d2ee63ba8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
"1cc0263c23eb89bf65a265044ae77606",0,0,45,17,3,0,0,0,0,3,0,19,28,0,52,27,4,44,0,19,16,0,14,0,0,25,0,37,7,33,15
"cb536c3f39f37608dcd077b3cf46bd46",0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,14,0,0,0,0,0,4,0,0,0,0,1,9,0,0
"36fe67644f3e27553a88bad0354891d3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,4,0,0,0,0,0,10,0,0,0,0
"fb47ddfd755dcb446e0d4c129f6626f3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b7558d2009cf40e125846825b7794dc",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
