"id","Kingdom","Phylum","Class","Order","Family","Genus","Species","1256-272-P2-S","1256-282-P1-S","1256-286-P6-S","1256-289-P7-S","1256-292-P8-S","1256-296-P11-S","1256-299-P12-S"
"a0d05edb64d4cc3e47bb924cdd43e7c4","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Unclassified  Latescibacterota",0,0,0,0,0,1,0
"5c31b639ebe88aaff743d282e263f60d","d__Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriales","Kapabacteriales","Kapabacteriales uncultured_bacterium",0,0,0,0,0,1,0
"6c5a828b1d117ca7307686b7a2ebbdf6","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7","Unclassified  IheB3-7",0,0,0,3,0,0,0
"70e5e301984c9048b4aa735ff857e37c","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae","IheB3-7","Unclassified  IheB3-7",0,0,0,0,1,0,0
"518932dfa8a3127d9e0a9913d3dee24a","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","BSV26 uncultured_bacterium",0,0,0,0,1,0,0
"a1f00583db9bcc32342065b924cc0f35","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2 uncultured_bacterium",0,0,0,0,1,0,0
"7ea558f47451d58024d3e587035e6f4c","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified Flavobacteriaceae","Unclassified Flavobacteriaceae",15,0,0,0,0,0,0
"48c6c9bb112b206378e350d43ad6a560","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Formosa","Unclassified  Formosa",26,0,0,0,0,0,0
"0fb5ce3c87f8dae3d7a2af88e77ea216","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified Flavobacteriaceae","Unclassified Flavobacteriaceae",0,0,0,0,0,0,1
"b5c7fd41327d82e8103a05f1472a573f","d__Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","Unclassified  Balneola",0,0,0,0,0,6,0
"732e5e8cf6696675e3dd28634fec78a2","d__Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_bacterium",0,0,6,6,0,0,0
