"Feature ID"	"Taxon"	"Consensus"
"2b89cb37c967e090096bc9b56bf3908f"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Beggiatoales; f__Beggiatoaceae"	1
"2c2c6acac1829c73dc7c71b957113b2a"	"d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Nodosilineaceae"	0.6
"2c5e844c95bab8fbc18080849e1f03e6"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Aquicella; s__uncultured_bacterium"	0.8
"2cbd6ea52c9b1578fb068c9dd0e3f47b"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__uncultured_bacterium"	0.8
"2d5bac4252c5dba912e35cd4830085f5"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__pItb-vmat-80; f__pItb-vmat-80; g__pItb-vmat-80"	0.7
"2db900a5d9dbabc8b11c4287e1a85d79"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Methylophagaceae; g__Marine_Methylotrophic_Group_3"	0.7
"2dc6a1055bcd1d69860a55926e4a0266"	"d__Bacteria; p__Cloacimonadota; c__Cloacimonadia; o__Cloacimonadales; f__MSBL8; g__MSBL8; s__uncultured_bacterium"	0.8
"2ddf02bfccfc2b945289f069a9bf9db6"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Tenderiales; f__Tenderiaceae; g__Candidatus_Tenderia"	1
"2e74c65784e093cff1db141ee461b793"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Thermicanales; f__Thermicanaceae; g__Thermicanus"	1
"2e7c9b3ed71019361df69cf5f0effd5b"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__Mogibacterium"	1
"2e930724c54f0daf073823f55b14bf74"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae"	1
"2e9345ea72a070d5942bbcdb7aa6b1d1"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella"	0.8
"2ea4f396325c08edc80f52941d8940d2"	"d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__uncultured_bacterium"	0.9
"2ef0b3edacc8715274aa3953eb21d2bc"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Microbulbiferaceae; g__Microbulbifer"	1
"2ef9737e2f4966a65a5ecff217114b86"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Holosporales; f__Holosporaceae"	0.9
"2f19a111dde5f35f1bcdb8f58e8ff21e"	"d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__uncultured; s__uncultured_bacterium"	0.6
"2f7eceac769be5cf712cb12ed58adf5d"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae"	1
"301ff7294412539a7cb66156be330637"	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Catonella"	1
"307b54435ecc34a2056e7dd23ec297db"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__KI89A_clade; f__KI89A_clade; g__KI89A_clade"	0.8
"30c6eae2f70f58bc8a35bdc0e71c46e2"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ectothiorhodospirales; f__Thioalkalispiraceae; g__Thiohalophilus"	0.7
"30fb3edb90bfc0b9261e26db761a13fd"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales"	0.6
"31ea468dc4c7af6971561895e5b4a376"	"d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Halodesulfovibrio"	1
"31f5a2a0a7e1edfa4204a3438171fe23"	"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia"	1
"32d9c22e4a581a199942d6fc67755bc2"	"d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales"	1
"3349a475c3242a761c89613875845db0"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus"	1
"335e862bcbb8d835b1bd2bf791f17e02"	"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__uncultured_bacterium"	0.7
"33b47051e78c515a1dfec71a34aa7c0e"	"d__Bacteria; p__Firmicutes; c__Bacilli"	0.6
"33efff52caf6c700c321016a3e3d215d"	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium"	1
"3436b62c3a872d9a6c0ac4f58bbc328f"	"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__uncultured; f__uncultured; g__uncultured"	1
"364be7d8391b8b7159ab9f36a94b0e26"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae"	0.9
"3941f4ed6d883b7b74218c4d826987a8"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__uncultured; s__uncultured_gamma"	0.6
"3a3e7f9f2ce7662d24b2c65292b782ce"	"d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__P.palmC41; f__P.palmC41; g__P.palmC41"	0.6
"3c7e6b63027221109867a7ae075721d8"	"d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales; f__Rhodothermaceae; g__uncultured; s__uncultured_bacterium"	0.6
"3c9107e3753ac8e5718095c1444fe158"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Saccharospirillaceae; g__Reinekea"	1
"3ca25c3ef4d4be166b7e8ce3771095c6"	"d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__UBA10353_marine_group; f__UBA10353_marine_group; g__UBA10353_marine_group"	1
"3caf28a6f9d845f1fd4e6da3eb9626ee"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia"	0.8
"3ce6d0b756aee0ed9aa3b827056765de"	"d__Bacteria; p__NKB15; c__NKB15; o__NKB15; f__NKB15; g__NKB15; s__uncultured_organism"	0.6
"3d4ba57381e0f3b3810cf13c3629f44b"	"d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium"	0.6
"3dd0e4748bb6a53cac56c007f3cb8d19"	"d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassospiraceae; g__Thalassospira"	1
