id,Taxon,Consensus
2eb9f4e6c8a08a211d016177b3b52a52,d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peregrinibacteria; f__Candidatus_Peregrinibacteria; g__Candidatus_Peregrinibacteria,0.7
262be0ab8c0547306030b4c1f1e873e4,d__Bacteria; p__Acidobacteriota; c__Subgroup_22; o__Subgroup_22; f__Subgroup_22; g__Subgroup_22; s__uncultured_bacterium,0.7
82c1c2f7157104bc1be25334cad36a25,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__NS11-12_marine_group; g__NS11-12_marine_group; s__uncultured_bacterium,0.7
2bd6bcb1d5ff27ea9521b4b1b334de0b,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__IS-44,0.7
bb6acc0da48eda61a8e4b19c746a8923,d__Bacteria; p__Nitrospinota; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae; g__Nitrospina; s__uncultured_bacterium,0.6
4f5a25de5a8067fb44c3ebc5ff020f38,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Microbulbiferaceae; g__Microbulbifer,1
7f31b60e1b629b103bdd0b07dac7f619,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Diplosphaera,0.6
0b8c52ea1cba3f4b650f4e179cb6329a,d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae,0.6
a218789f06432d4aa7dadc0ef4ec6046,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter; s__uncultured_bacterium,1
98d2aeba92b38a8aba3d41dd26a19f1e,d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Candidatus_Peribacteria; f__Candidatus_Peribacteria; g__Candidatus_Peribacteria; s__uncultured_bacterium,0.8
d6bfadb9738ef3f9d506c7b0fe34a15d,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__CCM11a; f__CCM11a; g__CCM11a,1
3e7b67fd84ea17c5626ad00d6245b7ba,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae,0.6
0927dd7dceb57b3db08cf0d6d61facb5,d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Kaiserbacteria; f__Candidatus_Kaiserbacteria; g__Candidatus_Kaiserbacteria; s__uncultured_bacterium,0.7
9823441552c36fb502d410b5dd9b589d,d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Nannocystis,0.8
a866d16c955a5dc773efa2cc46379e18,d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Melioribacteraceae; g__IheB3-7,1
688a491041ff17d9c0676dcb00f11f6d,d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085,0.7
3d3241f8f465f839de5eb08f7c418887,d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Arcobacteraceae; g__uncultured; s__uncultured_bacterium,0.9
793db5f60ac32e5174b497a8b61b5c13,d__Bacteria; p__Chloroflexi; c__Chloroflexia; o__Thermomicrobiales; f__AKYG1722; g__AKYG1722; s__uncultured_bacterium,0.6
718b559cc8fe77204873c4198bbe84d4,d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadales; g__Saccharimonadales; s__uncultured_bacterium,0.9
3aadc80ecd2580f85f664f3c1f847933,d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas,0.6
beb2632ff350089a02e7eca090281cfe,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__uncultured; g__uncultured,1
e90881702433c6b2f59e9df62feed1f9,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales,0.6
916faa0acfd54f66342f472096e01e12,d__Bacteria; p__Planctomycetota; c__vadinHA49; o__vadinHA49; f__vadinHA49; g__vadinHA49; s__uncultured_bacterium,0.9
6ab0f532b7e3f536d3cffe5e725a7cc0,d__Bacteria; p__Sva0485; c__Sva0485; o__Sva0485; f__Sva0485; g__Sva0485; s__uncultured_bacterium,0.8
5d3d6c61c2319084d27a2d281d37d0f4,d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota,0.9
88bb756d08dc8fd87654a384b241ae2f,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured,1
44e527cdc74c4be4c5d5eecf6c76a9ea,d__Bacteria; p__Chloroflexi,1
3a68c8c059546eca8150917cb11b58db,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Parvibaculales; f__PS1_clade; g__PS1_clade; s__uncultured_bacterium,0.7
45f9fce45129787483dcc21f3e9ea937,d__Bacteria; p__Planctomycetota; c__Pla3_lineage; o__Pla3_lineage; f__Pla3_lineage; g__Pla3_lineage; s__uncultured_bacterium,0.6
d55cde28c8caaa243c1e1f772a421a10,d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Omnitrophaceae; g__Candidatus_Omnitrophus; s__uncultured_bacterium,1
55504d8e0ac23e2a21195ded2edc9eee,d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales,1
8d3108742e48dab219b6f5f9db5fe60b,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales,0.9
9c84c9446450edfdce81ad416bdfffac,d__Bacteria; p__AncK6; c__AncK6; o__AncK6; f__AncK6; g__AncK6; s__uncultured_bacterium,0.7
daec3fe52a2027d98482b11ac542652c,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Porticoccaceae,0.7
62749f1d311df873c369f507a0960f01,d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales,0.9
6d3383af307cb28bc008a13b2e3527fd,d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium,0.6
22fe7e4c6c0c67dda139d75449c78c31,d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__uncultured_bacterium,0.7
6297c60a27d13ea46a55dfde35cde816,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__uncultured,0.6
fdb0d05522b36cdaa0ac839b03a869aa,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Arenicellales; f__Arenicellaceae; g__Arenicella,0.8
fa85d1b4892b280d0a3ff1d75c657e52,d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__Blastocatella; s__uncultured_bacterium,0.8
55d9192dbc01a0b96cd0ec1b9233b972,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__AT-s3-44; f__AT-s3-44; g__AT-s3-44,0.6
720b26d5909719074ab219ff407132a3,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__DEV007; g__DEV007; s__uncultured_bacterium,0.6
c14b378d277d82830121c6528e060c2e,d__Bacteria; p__Bacteroidota; c__Bacteroidia,1
1be3d6da13996e11234005fb9982b560,d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__Peredibacter,1
389424a453091776937b0630beb8e16e,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae,1
9430aa434979f3b5e6b6eadc5c6a4d67,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Pseudohongiellaceae; g__Pseudohongiella,1
ded7c7da227e6e6802f6d3f0102291ac,d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenticatenales; f__uncultured; g__uncultured,1
0f4d2a1f199fda8823a22dcfb85801dc,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium,0.7
30e33c48c04b5b0caeb97ce7dbb54237,d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96; s__uncultured_bacterium,0.9
9b78551c8d24c42709a269e9a4b95c98,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__MSBL9; f__SG8-4; g__SG8-4,1
3d1dd21cbf858f9f70dc5ad72dbfe1e3,d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Gastranaerophilales; f__Gastranaerophilales; g__Gastranaerophilales; s__uncultured_bacterium,0.8
65a8b528e1fc67f452e9cae4af025646,d__Bacteria; p__Chloroflexi; c__TK10; o__TK10; f__TK10; g__TK10,0.6
bd9e65b99b7022eef65412dbca24d8c6,d__Bacteria; p__Patescibacteria; c__Parcubacteria,1
bb2028e392aa5a9dc63da1a3da0bcff4,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__SB-5; g__SB-5; s__uncultured_organism,0.9
9734d5e2f1371df62b8a7fcb3c3d4484,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__JTB23; f__JTB23; g__JTB23; s__uncultured_bacterium,0.7
0dd4144bb99873c7c08a31f8463d0ead,d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales,0.9
b47ac9d17f15e50ccdb31d6b9756f033,d__Bacteria; p__Calditrichota; c__Calditrichia; o__Calditrichales; f__Calditrichaceae; g__Calorithrix,0.7
e6841e1616ec4a8a19e15f63afe89e04,d__Bacteria; p__Gemmatimonadota; c__PAUC43f_marine_benthic_group; o__PAUC43f_marine_benthic_group; f__PAUC43f_marine_benthic_group; g__PAUC43f_marine_benthic_group; s__uncultured_bacterium,0.7
26b7198096851ca813337eaaf86d6590,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__OM182_clade; f__OM182_clade; g__OM182_clade,1
929fff0fefc173bf71ce3ff5e15f97d6,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kordiimonadales; f__Kordiimonadaceae; g__Kordiimonas,0.8
cd63d1671cd8c384d4d09d8ba2a2032b,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Gimesiaceae; g__uncultured,1
624ac256cd3be36fc08797867beb011b,d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Balneolales; f__Balneolaceae; g__Balneola,0.8
03c634c6550beb60bb45cd12b27340c3,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HOC36; f__HOC36; g__HOC36,1
7288d43497956542928df0131fb991c2,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium,1
3de9dbd5930dc9dfd5b3f01005d53fa0,d__Bacteria; p__Acetothermia; c__Acetothermiia; o__Acetothermiia; f__Acetothermiia; g__Acetothermiia; s__uncultured_bacterium,0.7
61f983bccae879612d31bcd62db2aff8,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae; g__uncultured; s__uncultured_bacterium,0.7
f08bbfe821fcbde1bc072f922bd264db,d__Bacteria; p__Acidobacteriota,0.9
d288dd46bc581b6a6841234dd8464135,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Crocinitomix; s__uncultured_bacterium,0.6
6758f801dbdb05eaa5e6a69ab717c52f,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__uncultured,0.8
b5f4cf67065337a8e82b1ab0913f593c,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Tenderiales; f__Tenderiaceae; g__Candidatus_Tenderia,1
581c95d8c957ff4981119c86f200e2cc,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae; g__Neptuniibacter; s__uncultured_bacterium,0.6
7c0efee669bba946749af4686b3ad1bc,d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium,1
9613c0793e5fc1e644367c4c0d2d25a6,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__Rubinisphaera,1
e683295b6cd848cd647d9dec6b07d945,d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Gracilibacteria; f__Gracilibacteria; g__Gracilibacteria,1
5c18ad09381fe850198be951b5213386,d__Bacteria; p__Spirochaetota; c__Leptospirae; o__Leptospirales; f__Leptospiraceae; g__Leptospira,0.6
