"id","1256-273-P2-T","1256-276-P5-T","1256-287-P6-T","1256-290-P7-T","1256-293-P8-T","1256-297-P11-T","1256-300-P12-T","1256-304-P479-T","1256-312-P483-T","1256-322-P489-T","1256-325-P493-T","1256-327-P494-T","1256-329-P496-T","1256-331-P497-T","1256-334-P499-T","1256-339-P503-T","1256-343-P507-T","1256-345-P508-T","1256-347-P509-T","1256-349-P510-T","1256-351-P511-T"
"6799e315bf130481653cfdc8786ae5c2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"bd0052198924f974b6176e1b621af878",2,47,8,0,0,0,0,0,0,48,0,0,0,0,0,0,0,81,81,1,31
"7ab0174799b4f6fe9892545135541929",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"1dcb18156fff6ebd64ab9934070cc805",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"e55a2426a3f82a65216dd43bb8c381a9",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"4021cf7afcabee5e8214c1dd646bdaac",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"dcc6d5b1835b9c8af78381724d7fa844",7,0,0,0,0,1,0,0,41,0,0,3,26,28,0,0,0,0,0,0,0
"d16bcb3f3cdfc946e49e502eb8f10858",0,6,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0
"5459ad6baf438cdbeb12f69ac9a1c21f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"2f599f883ac29b1e07e5c4c85341bca9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"768fa7473c827d613fac180ba1c6926e",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"2f57f4e205e331fc1719376018ec6c19",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
