sample	function	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun
1256-001-Control	1CMET2-PWY	ba696e2ee16898edf8f3e92a0e8ee406	85.0	1.4247019858669565	1.0392541176470589	88.3366	1.4806
1256-001-Control	1CMET2-PWY	bbbb2fe7983546a18d219c322626952a	29.0	0.4860747951781381	1.1691620689655173	33.9057	0.5683
1256-001-Control	1CMET2-PWY	bd56b4f03bafc71adbbc0be71388dc15	140.0	2.3465679767220458	1.1691607142857143	163.6825	2.7435
1256-001-Control	1CMET2-PWY	bdc4d3b48104647fc0737e842de480fe	16.0	0.2681791973396624	1.428975	22.8636	0.3832
1256-001-Control	1CMET2-PWY	c0262d8c91623382e91b8cd8fb1f486f	19.0	0.3184627968408491	1.169157894736842	22.214	0.3723
1256-001-Control	1CMET2-PWY	c8c5f9d452fd88e8cb2daf74c36c96ec	43.0	0.7207315928503427	1.169160465116279	50.2739	0.8427
1256-001-Control	1CMET2-PWY	cca9e8b608d677d71d32982d1eec415e	139.0	2.3298067768883173	1.0392539568345323	144.4563	2.4213
1256-001-Control	1CMET2-PWY	ce2a071da8ab6b6662702075b4b6cacb	2.0	0.0335223996674578	0.90935	1.8187	0.0305
1256-001-Control	1CMET2-PWY	cf2f0c6c16ec9cb2c26eec24ab47c09d	86.0	1.4414631857006854	0.7794406976744185	67.0319	1.1235
1256-001-Control	1CMET2-PWY	d0614b52d7280e437380cb2a8b4d3b19	75.0	1.2570899875296675	1.16916	87.687	1.4697
1256-001-Control	1CMET2-PWY	d748bd785795b57f7a06d38c3d120a71	11.44	0.1917481260978586	1.4289772727272727	16.3475	0.274
1256-001-Control	1CMET2-PWY	d7ee5deb569a70531d252ce882391ef5	96.0	1.6090751840379744	1.0392541666666666	99.7684	1.6722
1256-001-Control	1CMET2-PWY	d908918adaac98e6cc1968bdd1572176	138.0	2.3130455770545884	0.9093471014492754	125.4899	2.1034
1256-001-Control	1CMET2-PWY	dc40193b00ef65c58bcfb2e3d6760394	83.0	1.3911795861994989	1.0392542168674699	86.2581	1.4458
1256-001-Control	1CMET2-PWY	dd6a4188cf168e4449ed02b1f8a6b52d	42.0	0.7039703930166138	1.1691595238095238	49.1047	0.8231
1256-001-Control	1CMET2-PWY	e010d79476d295b96c5dbb176d49dc21	83.0	1.3911795861994989	1.0392542168674699	86.2581	1.4458
1256-001-Control	1CMET2-PWY	e377c962309d2e4952959ed48e847083	98.0	1.6425975837054323	1.1691602040816327	114.5777	1.9205
1256-001-Control	1CMET2-PWY	e5fc2fc5a87d3bb22b0abd30a1f1f9e7	11.0	0.1843731981710179	1.1691636363636364	12.8608	0.2156
1256-001-Control	1CMET2-PWY	e7cb8589bc1b674206e2850633dc8475	98.0	1.6425975837054323	1.2990673469387755	127.3086	2.1338
1256-001-Control	1CMET2-PWY	ea5335360c4b8596e8bd0ec3210c881c	176.0	2.9499711707362866	0.909347159090909	160.0451	2.6825
1256-001-Control	1CMET2-PWY	f051ade971f87bddb332df1560a3c04c	122.0	2.044866379714926	1.1691606557377048	142.6376	2.3908
1256-001-Control	1CMET2-PWY	f0ea2058854ff939a2f5c5406d7b493c	15.44	0.2587929254327742	1.428976683937824	22.0634	0.3698
1256-001-Control	1CMET2-PWY	f3332169fcb1d7f339c3a170e92acdf0	78.0	1.3073735870308545	1.0392538461538463	81.0618	1.3587
1256-001-Control	1CMET2-PWY	f6e30cd4bcf23872b32fbf3066bb0a2e	25.0	0.4190299958432225	1.16916	29.229	0.4899
1256-001-Control	1CMET2-PWY	f7af87e718db0529e80dbfaf37440785	147.0	2.463896375558148	0.9093469387755102	133.674	2.2405
1256-001-Control	1CMET2-PWY	f8e6781999d751192cd30708b8857bc3	17.56	0.2943266690802795	1.428974943052392	25.0928	0.4206
1256-001-Control	1CMET2-PWY	fa7d67964fd7893bdf134aef9685178a	63.0	1.0559555895249209	1.0392539682539683	65.473	1.0974
