"id","1256-202-HI6-T","1256-205-HI7-T","1256-208-HI8-T","1256-211-HI10-T","1256-218-HI58-T","1256-221-HI59-T","1256-224-HI60-T","1256-227-HI61-T","1256-237-HI64-T","1256-240-HI65-T","1256-246-HI67-T","1256-253-HI69-T","1256-258-HIA-T","1256-267-HID-T","1256-277-HIE-T"
"8a802a3a4c1e6f98737088e024e7c5b5",0,0,0,0,2,0,1,2,0,0,0,0,0,0,0
"d1e1aa19328b7ad0ae9e2da4b493200b",0,0,0,0,4,0,17,0,0,0,0,0,3,0,0
"220c58778abcb28ca861d861831e886e",1,0,5,13,8,67,3,14,0,6,0,1,4,28,16
"fdb152e659df7f08e6b0028ef4366ecd",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"29bd6218a9e12663a213bd0b7887765a",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"af34fc03888592128030bbb62f9d0ef8",5,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"0bf7b52443caaea4251ac6d319063650",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"9c41ea38f087afdaec3d6623f7209c66",0,0,0,0,11,0,0,0,1,0,0,0,0,11,0
"8bb0cd9a6cac8a3bd6fd4e158bda6a1c",17,0,0,0,4,0,2,0,0,3,0,0,0,0,0
"a0a267f52a364660bae13d854683c627",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"091bd525335c54d35bbcfde42fc69c82",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68c073d146335e2f577db88319fe1668",0,0,0,0,0,0,4,5,0,1,0,0,0,0,0
"909c5e7d141c7e013b4a54957a983f53",22,2,0,0,28,35,12,4,20,33,1,9,0,41,0
"c11eb87ea6e23329224e97fd1af88ecc",176,63,44,0,26,30,32,133,199,43,14,74,68,9,24
"614fe7f4d24a3d3e3df964aacf1375a1",1,4,0,0,0,0,12,1,28,15,0,12,0,0,0
"2dc057c9f53249438db282acc80e81d4",0,0,17,0,4,0,10,0,0,11,0,1,0,0,0
"d59e27f92299cfe849de35b2bd5c8beb",0,10,0,0,10,0,0,1,0,0,0,0,0,0,0
"7aeb4c37cca14d020b2a2b2f12ad07cc",0,0,0,0,0,0,0,3,0,4,0,3,1,0,0
"a93dc577062c86302449248d6e6ba736",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"e242908b22763c29438eb1e1549cc68f",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"92dec93b4688aae9c3450d141452e626",0,0,0,0,0,0,0,2,0,3,2,0,0,0,0
"16f6614e7e9760dd3a161d9770f2972a",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"29d95c18799319de2e07b48d65302491",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15705fd5c9c3b788943a3ced52c0e983",0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"c9fc3aa194210e98babbf86f8104a9cb",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"00b7ca4c25fdbdc4ae021af1bfb30496",0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
"7496d094653355c2195a716d12a3c1ba",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
