"psuedo_sample_name","sample_name_backup","host_scientific_name","expedition_number","political_area","ocean_area","compartment_neutraility","compartment","neutraility"
"E10.Sty.pist.1.20150628.S_below","E10.Sty.pist.1.20150628.S","Stylophora pistillata","E10","Australia","Tasman Sea","Skeleton_below","Skeleton","below"
"E3.14.Phy.lich.1.20150125.S_below","E3.14.Phy.lich.1.20150125.S","Physogyra lichtensteini","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.14.Phy.lich.1.20150129.S_below","E3.14.Phy.lich.1.20150129.S","Physogyra lichtensteini","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.14.Phy.lich.2.20150125.S_below","E3.14.Phy.lich.2.20150125.S","Physogyra lichtensteini","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.1.20150105.S_below","E3.15.Dip.heli.1.20150105.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.1.20150106.S_below","E3.15.Dip.heli.1.20150106.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.1.20150118.S_below","E3.15.Dip.heli.1.20150118.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.1.20150119.S_below","E3.15.Dip.heli.1.20150119.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.1.20150120.S_below","E3.15.Dip.heli.1.20150120.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.1.20150121.S_below","E3.15.Dip.heli.1.20150121.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.1.20150123.S_below","E3.15.Dip.heli.1.20150123.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.2.20150105.S_below","E3.15.Dip.heli.2.20150105.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.2.20150106.S_below","E3.15.Dip.heli.2.20150106.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.2.20150119.S_below","E3.15.Dip.heli.2.20150119.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.2.20150120.S_below","E3.15.Dip.heli.2.20150120.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.2.20150121.S_below","E3.15.Dip.heli.2.20150121.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.2.20150123.S_below","E3.15.Dip.heli.2.20150123.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
"E3.15.Dip.heli.3.20150105.S_below","E3.15.Dip.heli.3.20150105.S","Diploastrea heliopora","E3","Australia","Coral Sea","Skeleton_below","Skeleton","below"
