"id","1256-004-C118-S","1256-007-C119-S","1256-010-C120-S","1256-013-C121-S","1256-016-C122-S","1256-020-C123-S","1256-023-C127-S","1256-026-C128-S","1256-029-C129-S","1256-035-C133-S","1256-041-C143-S","1256-044-C144-S","1256-047-C145-S","1256-050-C148-S","1256-054-C149-S","1256-057-C150-S","1256-060-C151-S","1256-063-C152-S","1256-065-C153-S"
"c882f3124e4a3165e71de62e4b8c868a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"dd56e8161670bb61d03336e2844f64f3",0,0,0,0,0,0,4,0,7,0,0,0,1,12,25,0,2,5,4
"3995fd452b6df99f4dfe4ebdb578a3d5",0,0,0,0,0,0,1,0,0,0,0,0,0,27,9,0,0,0,3
"a365bf990a4d37ce62a995aa22a23fbc",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"c4fa53dc05bbed887e85f9c898b8b2b7",0,0,0,0,0,0,1,0,0,0,0,0,0,10,11,0,0,6,28
"e62809ed1629b81f9d42e70f21d837f8",0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,5,0
"4c02cfab49bc8115431b051ef7ab5971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6
"86cbc2035d2da318f32fe09eb149c2e8",56,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"7cbd3d93bea88d7d3950c9ce4e2123cf",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3
"c03a5ce94d338afad2cc48fa9486f351",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0
"33b05e8efa995ce046e820aed44ca899",0,0,0,0,0,0,27,26,27,0,0,0,2,4,3,0,0,0,0
"6a523b59968d6c1f2d426ac66f4aec98",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"b1137072e6d28061f7b7c45ccf92d5b5",0,8,0,0,0,0,0,0,0,0,0,0,2,16,1,0,0,0,0
"c89a371bc536c7f43d91ed4ffeaa4ebf",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"aa5c7619b73fb0c6fc5ac0b3a7771704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"ed772b29abdd7f48e1753b7e2368da1f",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"1427c2924b01606a33608d1f1593529b",0,0,0,0,0,0,9,2,17,0,0,0,0,1,0,0,18,0,13
"cacda2b3e6e7777a022023e54c994e63",0,0,0,0,0,0,13,16,2,0,0,0,2,5,1,0,0,0,1
"1ab8ab90dc32598d9bd8ab27347cea68",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,10,3
"8c7f1ca8983f2c7bd734d0393785f108",0,0,0,0,0,0,15,22,4,0,0,0,0,30,22,0,0,33,1
"08d4892caedccd83a1b4cd3a926b3c33",0,0,0,0,0,0,0,14,4,0,0,0,0,12,3,0,0,0,0
