pseudo_sampleID	expedition_number	host_scientific_name	neutrality	compartment	compartment_neutrality
E7.17.Hyd.exes.2.20150622.T_above	E7	Hydnophora exesa	above	Tissue	Tissue_above
E7.17.Mer.ampl.1.20150621.T_above	E7	Merulina ampliata	above	Tissue	Tissue_above
E7.17.Mer.ampl.2.20150621.T_above	E7	Merulina ampliata	above	Tissue	Tissue_above
E7.17.Mer.ampl.3.20150621.T_above	E7	Merulina ampliata	above	Tissue	Tissue_above
E7.17.Myc.elep.1.20150622.T_above	E7	Echinophyllia aspera	above	Tissue	Tissue_above
E7.17.Pla.sine.1.20150622.T_above	E7	Platygyra sinensis	above	Tissue	Tissue_above
E7.17.Pla.sine.2.20150622.T_above	E7	Platygyra sinensis	above	Tissue	Tissue_above
E7.17.Pla.sine.3.20150622.T_above	E7	Platygyra sinensis	above	Tissue	Tissue_above
E7.19.Lob.hemp.1.20150619.T_above	E7	Lobophyllia hemprichii	above	Tissue	Tissue_above
E7.19.Lob.hemp.1.20150621.T_above	E7	Lobophyllia hemprichii	above	Tissue	Tissue_above
E7.19.Lob.hemp.2.20150619.T_above	E7	Lobophyllia hemprichii	above	Tissue	Tissue_above
E7.3.Por.loba.1.20150619.T_above	E7	Porites lobata	above	Tissue	Tissue_above
E7.3.Por.loba.2.20150619.T_above	E7	Porites lobata	above	Tissue	Tissue_above
E7.3.Por.loba.4.20150619.T_above	E7	Porites lobata	above	Tissue	Tissue_above
E7.5.Gal.astr.1.20150622.T_above	E7	Galaxea astreata	above	Tissue	Tissue_above
E7.5.Gal.fasc.1.20150621.T_above	E7	Galaxea fascicularis	above	Tissue	Tissue_above
E7.5.Gal.fasc.1.20150622.T_above	E7	Galaxea fascicularis	above	Tissue	Tissue_above
E7.6.Acr.hyac.1.20150622.T_above	E7	Acropora hyacinthus	above	Tissue	Tissue_above
E7.6.Acr.hyac.2.20150622.T_above	E7	Acropora hyacinthus	above	Tissue	Tissue_above
E7.6.Acr.hyac.3.20150622.T_above	E7	Acropora hyacinthus	above	Tissue	Tissue_above
E7.6.Mon.aequ.1.20150620.T_above	E7	Montipora aequituberculata	above	Tissue	Tissue_above
E7.6.Mon.aequ.2.20150620.T_above	E7	Montipora aequituberculata	above	Tissue	Tissue_above
E7.6.Mon.aequ.3.20150620.T_above	E7	Montipora aequituberculata	above	Tissue	Tissue_above
E7.6.Mon.aequ.4.20150620.T_above	E7	Montipora aequituberculata	above	Tissue	Tissue_above
E7.7.Pav.vari.1.20150623.T_above	E7	Pavona varians	above	Tissue	Tissue_above
E7.7.Pav.vari.2.20150622.T_above	E7	Pavona varians	above	Tissue	Tissue_above
1256-008-C119-T_below	E5	Orbicella annularis	below	Tissue	Tissue_below
1256-011-C120-T_below	E5	Orbicella faveolata	below	Tissue	Tissue_below
1256-014-C121-T_below	E5	Orbicella faveolata	below	Tissue	Tissue_below
1256-018-C122-T_below	E5	Orbicella annularis	below	Tissue	Tissue_below
1256-024-C127-T_below	E5	Scolymia sp	below	Tissue	Tissue_below
1256-027-C128-T_below	E5	Scolymia sp	below	Tissue	Tissue_below
1256-030-C129-T_below	E5	Scolymia sp	below	Tissue	Tissue_below
1256-032-C132-T_below	E5	Montastraea cavernosa	below	Tissue	Tissue_below
1256-036-C133-T_below	E5	Montastraea cavernosa	below	Tissue	Tissue_below
1256-042-C143-T_below	E5	Stephanocoenia intersepta	below	Tissue	Tissue_below
1256-045-C144-T_below	E5	Stephanocoenia intersepta	below	Tissue	Tissue_below
1256-048-C145-T_below	E5	Stephanocoenia intersepta	below	Tissue	Tissue_below
1256-052-C148-T_below	E5	Diploria labyrinthiformis	below	Tissue	Tissue_below
1256-055-C149-T_below	E5	Diploria labyrinthiformis	below	Tissue	Tissue_below
1256-061-C151-T_below	E5	Siderastrea siderea	below	Tissue	Tissue_below
1256-066-C153-T_below	E5	Siderastrea siderea	below	Tissue	Tissue_below
1256-070-C327-T_below	E12	Montastraea cavernosa	below	Tissue	Tissue_below
1256-073-C328-T_below	E12	Montastraea cavernosa	below	Tissue	Tissue_below
1256-074-C369-T_below	E12	Acropora palmata	below	Tissue	Tissue_below
1256-075-C370-T_below	E12	Acropora palmata	below	Tissue	Tissue_below
1256-076-C371-T_below	E12	Acropora palmata	below	Tissue	Tissue_below
1256-077-C372-T_below	E12	Acropora palmata	below	Tissue	Tissue_below
1256-078-C373-T_below	E12	Acropora palmata	below	Tissue	Tissue_below
1256-079-C386-T_below	E12	Diploria labyrinthiformis	below	Tissue	Tissue_below
1256-080-C435-T_below	E12	Acropora cervicornis	below	Tissue	Tissue_below
1256-081-C436-T_below	E12	Acropora cervicornis	below	Tissue	Tissue_below
1256-082-C437-T_below	E12	Acropora cervicornis	below	Tissue	Tissue_below
1256-103-PW164-T_below	E11	Pavona clavus	below	Tissue	Tissue_below
1256-106-PW165-T_below	E11	Pavona clavus	below	Tissue	Tissue_below
1256-109-PW166-T_below	E11	Tubastraea sp	below	Tissue	Tissue_below
1256-112-PW167-T_below	E11	Tubastraea sp	below	Tissue	Tissue_below
1256-115-PW168-T_below	E11	Pavona clavus	below	Tissue	Tissue_below
1256-119-PW169-T_below	E11	Tubastraea sp	below	Tissue	Tissue_below
1256-122-PW170-T_below	E11	Pavona clavus	below	Tissue	Tissue_below
1256-125-PW171-T_below	E11	Gardineroseris planulata	below	Tissue	Tissue_below
1256-128-PW172-T_below	E11	Gardineroseris planulata	below	Tissue	Tissue_below
