"id","1256-103-PW164-T","1256-106-PW165-T","1256-109-PW166-T","1256-112-PW167-T","1256-115-PW168-T","1256-119-PW169-T","1256-122-PW170-T","1256-125-PW171-T","1256-128-PW172-T","1256-131-PW174-T","1256-136-PW176-T","1256-139-PW177-T","1256-142-PW178-T","1256-147-PW182-T","1256-151-PW183-T","1256-154-PW185-T","1256-157-PW186-T","1256-160-PW187-T","1256-168-PW192-T","1256-171-PW193-T","1256-174-PW194-T","1256-177-PW195-T","1256-180-PW197-T","1256-189-PW201-T","1256-192-PW202-T","1256-195-PW203-T"
"0bdc772aac69d4d3c166f10c010c4a5b",0,0,0,9,0,2,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"3881b4d07b607a556323a67f5cef9d55",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d8f4121560e9d21b5c6ce7e8c6a1404f",0,0,0,0,0,0,11,3,2,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"f04759ae6baaf6f4246919fabdaa7991",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"b20ebea72f5702cb2360d4ca9bc3499a",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3d801522dce3bb0c9cb47da52821b111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"76d696c9b0acf470c3d8c69321926772",0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"128c190a950b80a9dd891f106ccbce31",0,0,4,0,0,10,0,0,0,0,5,5,3,1,5,0,5,1,0,0,10,13,0,0,0,0
"725356e8e75c59230856ef28c3050060",4,0,11,21,0,4,20,49,19,0,11,9,6,20,17,32,12,17,16,28,12,7,0,0,0,34
"496ac70fd7d4d7b96688272dc78dedf4",0,0,1,2,0,0,4,4,1,0,0,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"c8fc59abd67c82601fea727add3daa9d",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
