"taxon","Class","Order","Family","model","Kingdom","Phylum","Genus","Species"
"bf09cd11a0aa3e9ea08f89dc8455cccc","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","above","d__Bacteria","Proteobacteria",NA,NA
"3d78ff5308068e6c90836f6d42754091","Actinobacteria","Corynebacteriales","Corynebacteriaceae","neutral","d__Bacteria","Actinobacteriota",NA,NA
"d84605a2ed3edf0f10a6bd93d365a9cd","Bacteroidia","Cytophagales","Cyclobacteriaceae","above","d__Bacteria","Bacteroidota",NA,NA
"e251d95da506a2e82434147519bb939f","Acidimicrobiia","Actinomarinales","Actinomarinaceae","above","d__Bacteria","Actinobacteriota",NA,NA
"0d89daed2e31eb0b35eee707949a3f9f","Gammaproteobacteria","Cellvibrionales","Halieaceae","above","d__Bacteria","Proteobacteria",NA,NA
"67c37dc4bee9bbcd638b39305b93cd61","Bacilli","Lactobacillales","Streptococcaceae","below","d__Bacteria","Firmicutes",NA,NA
"4e4c5cd13eb19d445bd2ee4bd71a7053","Bacilli","Staphylococcales","Staphylococcaceae","neutral","d__Bacteria","Firmicutes",NA,NA
"7051497be569868600ddc91fe2cb4504","Alphaproteobacteria","SAR11_clade","Clade_II","neutral","d__Bacteria","Proteobacteria",NA,NA
"b5dd41ab5085b59557be60ca37e7230c","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","below","d__Bacteria","Proteobacteria",NA,NA
"b066208a8d989dbe1232503c814bc2de","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","below","d__Bacteria","Proteobacteria",NA,NA
"f65d235a28662c7d69cd585b60a0b38d","Bacteroidia","Flavobacteriales","Cryomorphaceae","neutral","d__Bacteria","Bacteroidota",NA,NA
"d96ea3fa0e0901003a82b3368cf16607","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","neutral","d__Bacteria","Proteobacteria",NA,NA
"731fae86270e8581d1d2edc9964dd28d","Alphaproteobacteria","Puniceispirillales","SAR116_clade","neutral","d__Bacteria","Proteobacteria",NA,NA
